branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___cjs__,ft___css_,ft___html_,ft___ico_,ft___js_,ft___js__,ft___json_,ft___json__,ft___md__,ft___png_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx____dup1,ft___webmanifest_,ft___xml_,ft___yml_,ft___yml__,ft____cjs_,ft____css_,ft____css__,ft____html_,ft____html__,ft____json_,ft____json__,ft____md_,ft____snap_,ft____svg_,ft____ts_,ft____ts__,ft____tsx_,ft____tsx__,ft____tsx____dup1,ft____yaml__,ft____yml_,ft____yml__,ft___
2,0,3,83806327,317.0,1302,0,0,1,False,11,1,0,0,0,12,False,10491,0,0,0,1,7,258,3,7,78,0,55.57144218854256,0,112.0,0,0,6,1,10,59456.0,213.0,605.0,225.0,293.0,282.0,249.0,257.0,303.42857142857144,135.99002064227255,347.6666666666667,222.93795848471686,334.0,184.06882770673946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,234.0,1301,0,0,5,False,114,16,65,9,74,130,False,10484,0,1,0,3,7,258,3,7,74,0,55.79931323922168,0,112.0,0,0,6,1,10,262.0,317.0,213.0,605.0,225.0,293.0,282.0,249.0,312.0,134.45817193462062,378.3333333333333,203.06977454395653,340.0,182.67274929045476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,83806327,267.0,1300,0,0,1,False,3,3,0,0,0,6,True,10398,64,0,0,1,7,258,3,7,51,1,50.87516830159646,0,112.0,0,0,7,1,10,2135.0,234.0,317.0,213.0,605.0,225.0,293.0,282.0,309.85714285714283,135.74292930809642,254.66666666666666,54.9939390599849,342.25,180.83026111061537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,6,83806327,256.0,1299,1,0,4,False,21,3,0,0,0,24,False,10491,0,4,0,1,7,258,3,7,156,0,55.57144218854256,0,112.0,0,0,7,1,10,1764.0,267.0,234.0,317.0,213.0,605.0,225.0,293.0,307.7142857142857,136.3729131043677,272.6666666666667,41.78915329763614,257.75,45.32383478921438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,83806327,232.0,1298,1,0,4,False,21,3,0,0,0,24,False,10491,0,4,0,1,7,258,3,7,156,0,55.57144218854256,0,112.0,0,0,7,1,10,125.0,256.0,267.0,234.0,317.0,213.0,605.0,225.0,302.42857142857144,137.74839036307847,252.33333333333334,16.802777548171413,268.5,35.12359131220307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,83806327,261.0,1297,1,0,4,False,21,3,0,0,0,24,True,10491,76,4,0,1,7,258,3,7,156,1,55.57144218854256,0,112.0,0,0,7,1,10,33.0,232.0,256.0,267.0,234.0,317.0,213.0,605.0,303.42857142857144,137.11656494002605,251.66666666666666,17.8978583448784,247.25,17.075811352124187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,83806327,225.0,1296,0,0,1,False,1,1,0,0,0,2,True,10491,64,0,0,1,7,258,3,7,51,1,55.57144218854256,0,112.0,0,0,7,1,10,688.0,261.0,232.0,256.0,267.0,234.0,317.0,213.0,254.28571428571428,33.554504345985535,249.66666666666666,15.50268793897798,254.0,15.340577998671801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,253.0,1294,0,0,5,False,76,90,49,51,100,166,False,10491,0,1,0,3,7,258,3,7,74,0,55.57144218854256,0,112.0,0,0,7,1,10,425.0,225.0,261.0,232.0,256.0,267.0,234.0,317.0,256.0,31.326240331921948,239.33333333333334,19.08751773629388,243.5,17.67295485574875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,227.0,1293,0,0,5,False,76,90,49,51,100,166,False,10491,0,1,0,3,7,258,3,7,74,0,55.57144218854256,0,112.0,0,0,8,1,10,395.0,253.0,225.0,261.0,232.0,256.0,267.0,234.0,246.85714285714286,16.283207827171438,246.33333333333334,18.903262505010435,242.75,17.017148213885115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,83806327,268.0,1292,0,0,5,False,102,18,62,8,70,120,False,10472,0,1,0,3,7,258,3,7,74,0,55.67226890756303,0,112.0,0,0,8,1,10,268.0,227.0,253.0,225.0,261.0,232.0,256.0,267.0,245.85714285714286,17.382256963434212,235.0,15.620499351813308,241.5,18.211717839530316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
