model,model_key,project,repo,id_build,run_url,actual_duration,prediction,baseline_lag1,baseline_mean7,abs_error_model,abs_error_lag1,abs_error_mean7,case_type
DT,decision_tree,jod,Opetushallitus/jod-yksilo-ui,17095787568,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/17095787568,170822.0,96799.75999999957,183.0,178.0,74022.24000000043,170639.0,170644.0,worst_model
DT,decision_tree,jod,Opetushallitus/jod-yksilo-ui,17152365031,https://github.com/Opetushallitus/jod-yksilo-ui/actions/runs/17152365031,4984.0,1145.5,166.0,24554.0,3838.5,4818.0,19570.0,worst_model
DT,decision_tree,m2os,m2Giles/m2os,16406919919,https://github.com/m2Giles/m2os/actions/runs/16406919919,2329.0,2422.3225806451615,1789.0,2109.5714285714284,93.32258064516145,540.0,219.42857142857156,best_model
DT,decision_tree,m2os,m2Giles/m2os,16452013026,https://github.com/m2Giles/m2os/actions/runs/16452013026,3594.0,3460.942857142857,3853.0,2519.4285714285716,133.05714285714294,259.0,1074.5714285714284,best_model
DT,decision_tree,m2os,m2Giles/m2os,16565640610,https://github.com/m2Giles/m2os/actions/runs/16565640610,2208.0,2422.3225806451615,3848.0,3229.0,214.32258064516145,1640.0,1021.0,best_model
DT,decision_tree,m2os,m2Giles/m2os,16901402234,https://github.com/m2Giles/m2os/actions/runs/16901402234,8500.0,3460.942857142857,8283.0,3884.714285714286,5039.057142857143,217.0,4615.285714285714,worst_model
DT,decision_tree,m2os,m2Giles/m2os,16900027590,https://github.com/m2Giles/m2os/actions/runs/16900027590,8283.0,3460.942857142857,5837.0,2975.0,4822.057142857143,2446.0,5308.0,worst_model
DT,decision_tree,m2os,m2Giles/m2os,17112927257,https://github.com/m2Giles/m2os/actions/runs/17112927257,7434.0,3460.942857142857,8500.0,4797.571428571428,3973.057142857143,1066.0,2636.4285714285716,worst_model
DT,decision_tree,orange,Orange-OpenSource/ouds-android,16339109007,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16339109007,959.0,960.6464285714285,1047.0,1105.2857142857142,1.646428571428487,88.0,146.28571428571422,best_model
DT,decision_tree,orange,Orange-OpenSource/ouds-android,16470366278,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16470366278,924.0,930.5357142857143,876.0,1006.5714285714286,6.535714285714334,48.0,82.57142857142856,best_model
DT,decision_tree,orange,Orange-OpenSource/ouds-android,16340019045,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16340019045,938.0,930.5357142857143,841.0,1010.1428571428571,7.464285714285666,97.0,72.14285714285711,best_model
DT,decision_tree,orange,Orange-OpenSource/ouds-android,16744886252,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16744886252,1493.0,592.6451612903226,826.0,1007.7142857142857,900.3548387096774,667.0,485.28571428571433,worst_model
