branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___bat__,ft___config_,ft___gradle_,ft___gradle__,ft___java_,ft___java__,ft___json_,ft___json__,ft___properties_,ft___properties__,ft___tf_,ft___tf__,ft___tfvars_,ft___tfvars__,ft___xml_,ft___xml__,ft___yaml_,ft___yml_,ft___yml__,ft____config_,ft____gradle_,ft____gradle__,ft____jar_,ft____java_,ft____java__,ft____json__,ft____md_,ft____md__,ft____properties_,ft____properties__,ft____tf_,ft____tf__,ft____tfvars_,ft____tfvars__,ft____xml_,ft____xml__,ft____yaml_,ft____yaml__,ft____yml_,ft___
0,0,7,6192976,366.0,2071,1,0,3,False,13,2,0,0,0,15,True,84531,92,1,0,3,147,9790,1,6,3,0,842.1525830760312,47,40,0,0,13,4,8,72456.0,348.0,371.0,349.0,408.0,419.0,391.0,358.0,377.7142857142857,28.692126014607133,356.0,13.0,369.0,28.083209693100727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,7,6192976,348.0,2069,1,0,1,False,11,0,0,0,0,11,True,84531,92,1,0,1,147,9791,1,6,0,0,842.1525830760312,47,40,0,0,11,2,8,423465.0,366.0,348.0,371.0,349.0,408.0,419.0,391.0,378.85714285714283,27.92506980849867,361.6666666666667,12.096831541082702,358.5,11.73314393786536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,0,11,6192976,420.0,2068,0,0,1,False,1,1,0,0,0,2,False,84531,0,0,0,1,147,9791,1,6,27,0,842.1525830760312,47,40,0,0,11,2,8,53.0,348.0,366.0,348.0,371.0,349.0,408.0,419.0,372.7142857142857,29.494147926406722,354.0,10.392304845413264,358.25,12.010412149464313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,5,6192976,425.0,2054,1,0,9,False,106,11,1,2,3,117,True,84868,89,5,0,3,147,9804,1,7,0,3,841.1297544421926,47,40,0,0,9,0,9,426567.0,420.0,348.0,366.0,348.0,371.0,349.0,408.0,372.85714285714283,29.75695196884571,378.0,37.469987990390386,370.5,34.07345007480164,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,5,6192976,411.0,2053,0,0,1,False,4,0,0,0,0,4,True,84872,89,0,0,1,147,9805,1,7,2,3,841.0901121689132,47,40,0,0,11,0,9,4909.0,425.0,420.0,348.0,366.0,348.0,371.0,349.0,375.2857142857143,33.554504345985535,397.6666666666667,43.08518693627003,389.75,38.577843381920665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,8,6192976,369.0,2052,0,0,1,False,1,1,0,0,0,2,True,84872,89,0,0,1,147,9806,1,8,2,3,841.0901121689132,47,40,0,0,11,0,9,55.0,411.0,425.0,420.0,348.0,366.0,348.0,371.0,384.14285714285717,33.642376904872876,418.6666666666667,7.094598884597588,401.0,35.805027579936315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0,7,6192976,424.0,2051,0,0,16,False,43,98,3,2,5,141,True,84598,91,4,0,8,147,9777,1,5,55,2,842.7149578004208,47,40,0,0,12,0,9,4393.0,369.0,411.0,425.0,420.0,348.0,366.0,348.0,383.85714285714283,33.78080604637576,401.6666666666667,29.14332399252586,406.25,25.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,7,6192976,345.0,2050,4,0,19,False,400,112,6,5,11,512,True,84830,91,6,0,14,148,9818,1,8,27,2,840.4220205116114,47,40,0,0,12,0,9,837.0,424.0,369.0,411.0,425.0,420.0,348.0,366.0,394.7142857142857,32.52544791243868,401.3333333333333,28.74601421646718,407.25,26.28529373369578,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,5,6192976,357.0,2049,0,0,5,False,18,16,0,0,0,34,True,84874,89,1,0,4,147,9809,1,8,0,3,841.0702924334896,47,40,0,0,12,0,9,1479.0,345.0,424.0,369.0,411.0,425.0,420.0,348.0,391.7142857142857,36.35800822246402,379.3333333333333,40.5010287935175,387.25,36.66401505563732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,9,6192976,376.0,2048,0,0,1,False,1,0,1,0,1,1,True,84830,91,0,0,0,148,9819,1,8,3,2,840.4338087940587,47,40,0,0,13,0,9,3470.0,357.0,345.0,424.0,369.0,411.0,425.0,420.0,393.0,34.67467856135559,375.3333333333333,42.5715084690845,373.75,34.90343822605446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
