branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___DotSettings_,ft___cs_,ft___cs__,ft___csproj_,ft___css_,ft___css__,ft___cs____dup1,ft___deb_,ft___ico__,ft___js__,ft___json_,ft___json__,ft___mjs__,ft___png_,ft___png__,ft___props_,ft___sh_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx____dup1,ft___ts____dup1,ft___yml_,ft___yml__,ft____cs_,ft____csproj_,ft____css_,ft____cs__,ft____json_,ft____json__,ft____md_,ft____sh_,ft____svg_,ft____svg__,ft____ts_,ft____ts__,ft____tsx__,ft____tsx____dup1,ft____yml_,ft____yml__,ft___
1,1,0,75763098,105.0,1040,0,0,2,False,1,1,0,0,0,2,True,665613,289,2,0,0,91,7614,3,7,217,0,0.0195308685377238,0,131.0,0,0,23,0,8,59945.0,109.0,213.0,241.0,204.0,33.0,129.0,327.0,179.42857142857142,96.81917362254431,187.66666666666666,69.5509405639732,191.75,57.372322014481284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,75763098,26.0,1039,0,0,2,False,1,1,0,0,0,2,True,665613,289,2,0,0,91,7614,3,7,218,0,0.0195308685377238,0,131.0,0,0,23,0,8,0.0,105.0,109.0,213.0,241.0,204.0,33.0,129.0,147.71428571428572,74.12312793749395,142.33333333333334,61.23180001709352,167.0,70.23769168568492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,312.0,1036,0,0,2,False,1,1,0,0,0,2,True,489337,429,2,0,0,91,7614,1,7,217,0,0.0,0,106.0,0,0,23,0,8,20.0,26.0,105.0,109.0,213.0,241.0,204.0,33.0,133.0,87.4776161845608,80.0,46.8081189538738,113.25,76.70017383726498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,254.0,1035,0,0,2,False,1,1,0,0,0,2,True,489337,452,2,0,0,91,7614,1,7,217,0,0.0,0,106.0,0,0,22,1,8,82786.0,312.0,26.0,105.0,109.0,213.0,241.0,204.0,172.85714285714286,97.3266468675264,147.66666666666666,147.69676141789074,138.0,122.13380640374173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,262.0,1034,0,0,2,False,1,1,0,0,0,2,True,489337,355,2,0,0,91,7617,1,7,217,0,0.0,0,106.0,0,0,21,2,8,83320.0,254.0,312.0,26.0,105.0,109.0,213.0,241.0,180.0,101.7283965599904,197.33333333333334,151.18641914316686,174.25,131.7937150752392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,75763098,107.0,1033,0,0,5,False,4,4,0,0,0,8,True,665613,289,2,0,3,91,7617,3,7,217,0,0.0195308685377238,0,131.0,0,0,6,3,8,32585.0,262.0,254.0,312.0,26.0,105.0,109.0,213.0,183.0,104.10891732539852,276.0,31.432467291003423,213.5,127.60747104565102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,75763098,121.0,1032,0,0,2,False,1,1,0,0,0,2,True,665613,289,2,0,0,91,7618,3,7,217,0,0.0195308685377238,0,131.0,0,0,0,4,8,66010.0,107.0,262.0,254.0,312.0,26.0,105.0,109.0,167.85714285714286,106.69493672995699,207.66666666666666,87.27160668472497,233.75,88.3114752830382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,75763098,31.0,1031,0,0,2,False,1,1,0,0,0,2,True,665613,289,2,0,0,91,7618,3,7,217,0,0.0195308685377238,0,131.0,0,0,0,4,8,0.0,121.0,107.0,262.0,254.0,312.0,26.0,105.0,169.57142857142858,105.68326443175562,163.33333333333334,85.73408501484887,186.0,83.3986410760591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,75763098,291.0,1030,0,0,2,False,1,1,0,0,0,2,True,489337,289,2,0,0,91,7618,1,7,217,0,0.0,0,106.0,0,0,0,4,8,8.0,31.0,121.0,107.0,262.0,254.0,312.0,26.0,159.0,116.37869220780924,86.33333333333333,48.42864166310401,130.25,96.32367310272174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,75763098,30.0,1028,0,0,2,False,1,1,0,0,0,2,False,665613,0,2,0,0,91,7618,3,7,217,0,0.0195308685377238,0,131.0,0,0,20,4,8,72089.0,291.0,31.0,121.0,107.0,262.0,254.0,312.0,196.85714285714286,108.75573329167305,147.66666666666666,132.03534880225573,137.5,109.707186030208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
