branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___bat__,ft___config_,ft___gradle_,ft___gradle__,ft___java_,ft___java__,ft___json_,ft___json__,ft___properties_,ft___properties__,ft___tf_,ft___tf__,ft___tfvars_,ft___tfvars__,ft___xml_,ft___xml__,ft___yaml_,ft___yml_,ft___yml__,ft____config_,ft____gradle_,ft____gradle__,ft____jar_,ft____java_,ft____java__,ft____json__,ft____md_,ft____md__,ft____out_,ft____out__,ft____properties_,ft____properties__,ft____tf_,ft____tf__,ft____tfvars_,ft____tfvars__,ft____xml_,ft____xml__,ft____yaml_,ft____yaml__,ft____yml_,ft____yml__,ft___
2,failure,0,0,6192976,200.0,1847,0,0,7,False,81,63,8,4,12,144,False,85459,0,2,0,3,149,9806,1,9,11,0,843.5390070092092,47,40,0,0,200.0,1.0,False,15,0,10,9.0,203.0,195.0,125.0,72.0,275.0,75.0,50.0,142.14285714285714,84.02465624531206,174.33333333333334,42.91076011134426,148.75,62.0127675026146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,2,6192976,334.0,1846,1,0,2,False,2314,2,2,2,4,2316,False,85465,0,0,0,2,149,9807,1,9,4,0,843.4797870473293,47,40,0,0,334.0,1.0,False,15,0,10,2020.0,200.0,203.0,195.0,125.0,72.0,275.0,75.0,163.57142857142858,75.28137694201477,199.33333333333334,4.041451884327381,180.75,37.31286641361127,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,2,6192976,333.0,1845,0,1,0,False,0,2305,0,0,0,2305,False,85465,0,0,0,1,149,9807,1,9,0,0,843.4797870473293,47,40,0,0,333.0,1.0,False,16,0,10,986.0,334.0,200.0,203.0,195.0,125.0,72.0,275.0,200.57142857142858,87.1987330620064,245.66666666666666,76.51361534611557,233.0,67.41414292762808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,2,6192976,322.0,1844,0,0,2,False,9,2,2,2,4,11,False,85465,0,0,0,1,149,9807,1,9,4,0,843.4797870473293,47,40,0,0,322.0,1.0,False,16,0,10,50.0,333.0,334.0,200.0,203.0,195.0,125.0,72.0,208.85714285714286,97.58659158482203,289.0,77.07788269017254,267.5,76.22116941287813,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,0,6192976,324.0,1843,0,0,0,False,0,0,0,0,0,0,False,85465,0,0,0,0,149,9809,1,9,0,0,843.4797870473293,47,40,0,0,324.0,1.0,False,16,0,10,23.0,322.0,333.0,334.0,200.0,203.0,195.0,125.0,244.57142857142858,83.94612784966547,329.6666666666667,6.658328118479393,297.25,65.0608689356872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,failure,0,2,6192976,317.0,1842,0,0,2,False,4,12,3,11,14,16,False,85457,0,1,0,0,149,9810,1,9,3,0,843.4651345120939,47,40,0,0,317.0,1.0,False,13,1,10,76591.0,324.0,322.0,333.0,334.0,200.0,203.0,195.0,273.0,69.08448933491994,326.3333333333333,5.8594652770823155,328.25,6.13052471924984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,0,6192976,371.0,1841,0,0,1,False,1,1,0,0,0,2,False,85457,0,0,0,1,149,9811,1,9,1,0,843.4651345120939,47,40,0,0,371.0,1.0,False,14,1,10,2879.0,317.0,324.0,322.0,333.0,334.0,200.0,203.0,290.42857142857144,61.04877051139015,321.0,3.605551275463989,324.0,6.683312551921141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,6192976,469.0,1840,0,0,6,False,64,58,0,0,0,122,False,85508,0,0,0,6,148,9803,1,8,6,0,843.0205360901904,47,40,0,0,469.0,1.0,False,14,1,10,112.0,371.0,317.0,324.0,322.0,333.0,334.0,200.0,314.42857142857144,53.506563905304006,337.3333333333333,29.36551265231604,333.5,25.17273657484753,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,6192976,459.0,1839,0,0,1,False,1,1,0,0,0,2,False,85508,0,1,0,0,149,9804,1,9,1,0,843.0205360901904,47,40,0,0,459.0,1.0,False,14,1,10,263.0,469.0,371.0,317.0,324.0,322.0,333.0,334.0,352.85714285714283,54.2200103634214,385.6666666666667,77.05409355338192,370.25,70.0636615276897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,0,6192976,96.0,1838,0,0,4,False,13,16,0,0,0,29,False,85511,0,1,0,3,149,9805,1,9,10,0,842.9909602273392,47,40,0,0,96.0,1.0,False,14,1,10,1815.0,459.0,469.0,371.0,317.0,324.0,322.0,333.0,370.7142857142857,66.2286803072362,433.0,53.925875050851054,404.0,72.81941133150328,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
