branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___DotSettings_,ft___cs_,ft___cs__,ft___csproj_,ft___css_,ft___css__,ft___cs__,ft___cs___,ft___deb_,ft___ico__,ft___js__,ft___json_,ft___json__,ft___mjs__,ft___png_,ft___png__,ft___props_,ft___sh_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx__,ft___ts__,ft___yml_,ft___yml__,ft____cs_,ft____csproj_,ft____css_,ft____cs__,ft____json_,ft____json__,ft____md_,ft____sh_,ft____svg_,ft____svg__,ft____ts_,ft____ts__,ft____tsx__,ft____tsx__,ft____yml_,ft____yml__,ft___
2,success,0,0,75763098,29.0,836,0,0,2,False,1,1,0,0,0,2,True,665608,355,2,0,0,92,7689,3,5,200,0,0.0195310152522205,0,131.0,0,0,29.0,1.0,False,0,5,10,0.0,124.0,119.0,115.0,26.0,105.0,28.0,108.0,89.28571428571429,43.026016492793005,119.33333333333333,4.509249752822894,96.0,46.811679454312824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,110.0,835,0,0,2,False,1,1,0,0,0,2,False,665608,0,2,0,0,92,7689,3,5,200,0,0.0195310152522205,0,131.0,0,0,110.0,1.0,False,6,0,10,191971.0,29.0,124.0,119.0,115.0,26.0,105.0,28.0,78.0,47.43416490252569,90.66666666666667,53.46338310781813,96.75,45.3164797102923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,114.0,834,0,0,2,False,1,1,0,0,0,2,True,665608,289,2,0,0,92,7689,3,5,200,0,0.0195310152522205,0,131.0,0,0,114.0,1.0,False,6,1,10,88845.0,110.0,29.0,124.0,119.0,115.0,26.0,105.0,89.71428571428571,42.940712172770986,87.66666666666667,51.2867754234299,95.5,44.710177812216315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,1,75763098,65.0,833,0,0,2,False,1,1,0,0,0,2,False,665608,0,2,0,0,92,7689,3,5,200,0,0.0195310152522205,0,131.0,0,0,65.0,1.0,False,6,1,10,0.0,114.0,110.0,29.0,124.0,119.0,115.0,26.0,91.0,43.60428113538089,84.33333333333333,47.9617903474561,94.25,43.89665894651513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,0,75763098,109.0,832,0,0,2,False,1,1,0,0,0,2,True,665608,289,2,0,0,92,7690,3,5,200,0,0.0195310152522205,0,131.0,0,0,109.0,1.0,False,12,1,10,21440.0,65.0,114.0,110.0,29.0,124.0,119.0,115.0,96.57142857142857,35.68779970268618,96.33333333333333,27.209067116190024,79.5,40.33608806019741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,0,75763098,32.0,831,0,0,2,False,1,1,0,0,0,2,True,665608,289,2,0,0,92,7690,3,5,200,0,0.0195310152522205,0,131.0,0,0,32.0,1.0,False,12,1,10,0.0,109.0,65.0,114.0,110.0,29.0,124.0,119.0,95.71428571428571,35.24066914666579,96.0,26.962937525425527,99.5,23.101226518664905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,112.0,830,0,0,2,False,1,1,0,0,0,2,True,665608,289,2,0,0,92,7690,3,5,195,0,0.0195310152522205,0,131.0,0,0,112.0,1.0,False,6,2,10,63835.0,32.0,109.0,65.0,114.0,110.0,29.0,124.0,83.28571428571429,40.59439323237585,68.66666666666667,38.63073042712671,80.0,38.841558499456056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,111.0,829,0,0,2,False,1,1,0,0,0,2,False,665608,0,2,0,0,92,7690,3,5,195,0,0.0195310152522205,0,131.0,0,0,111.0,1.0,False,6,2,10,11.0,112.0,32.0,109.0,65.0,114.0,110.0,29.0,81.57142857142857,38.802307246078136,84.33333333333333,45.34681172181054,79.5,38.26660859461331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,1,75763098,105.0,828,0,0,2,False,1,1,0,0,0,2,False,665608,0,2,0,0,92,7690,3,5,195,0,0.0195310152522205,0,131.0,0,0,105.0,1.0,False,6,2,10,10.0,111.0,112.0,32.0,109.0,65.0,114.0,110.0,93.28571428571429,32.08174083864676,85.0,45.902069670114,91.0,39.35310237664455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,0,75763098,121.0,827,0,0,2,False,1,1,0,0,0,2,True,665608,289,2,0,0,92,7693,3,5,195,0,0.0195310152522205,0,131.0,0,0,121.0,1.0,False,13,2,10,25294.0,105.0,111.0,112.0,32.0,109.0,65.0,114.0,92.57142857142857,31.70098391142428,109.33333333333333,3.7859388972001824,90.0,38.79003308411411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
