branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___cjs__,ft___css_,ft___html_,ft___ico_,ft___js_,ft___js__,ft___json_,ft___json__,ft___md__,ft___png_,ft___svg_,ft___ts_,ft___ts__,ft___tsx_,ft___tsx__,ft___tsx__,ft___webmanifest_,ft___xml_,ft___yml_,ft___yml__,ft____cjs_,ft____css_,ft____css__,ft____html_,ft____html__,ft____json_,ft____json__,ft____md_,ft____snap_,ft____svg_,ft____ts_,ft____ts__,ft____tsx_,ft____tsx__,ft____tsx__,ft____yaml__,ft____yml_,ft____yml__,ft___
2,success,0,2,83806327,297.0,1163,4,1,10,False,360,105,49,1,50,465,False,12457,0,9,0,5,7,283,3,6,217,0,46.800995424259455,0,112.0,0,0,297.0,1.0,False,8,0,10,1389.0,162.0,302.0,112.0,302.0,244.0,232.0,285.0,234.14285714285714,73.05347030640998,192.0,98.48857801796105,219.5,97.42518497116988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,256.0,1161,4,1,10,False,360,105,49,1,50,465,False,12457,0,9,0,5,7,283,3,6,217,0,46.800995424259455,0,112.0,0,0,256.0,1.0,False,8,0,10,164.0,297.0,162.0,302.0,112.0,302.0,244.0,232.0,235.85714285714286,74.57083561158157,253.66666666666666,79.42501704962571,218.25,96.03601754897308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,424.0,1160,4,1,10,False,360,105,49,1,50,465,False,12457,0,9,0,5,7,283,3,6,217,0,46.800995424259455,0,112.0,0,0,424.0,1.0,False,10,0,10,6235.0,256.0,297.0,162.0,302.0,112.0,302.0,244.0,239.28571428571428,74.9148723234452,238.33333333333334,69.21223398600375,254.25,64.86074827402678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,3,83806327,317.0,1159,0,0,1,False,15,6,0,0,0,21,True,12457,115,0,0,1,7,283,3,6,40,1,46.800995424259455,0,112.0,0,0,317.0,1.0,False,10,0,10,1957.0,424.0,256.0,297.0,162.0,302.0,112.0,302.0,265.0,102.58492416854762,325.6666666666667,87.59185654690357,284.75,108.68110844729793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,failure,0,6,83806327,108.0,1158,0,0,15,False,659,347,0,0,0,1006,False,12457,0,4,0,11,7,283,3,6,90,0,46.800995424259455,0,112.0,0,0,108.0,1.0,False,18,0,10,29475.0,317.0,424.0,256.0,297.0,162.0,302.0,112.0,267.14285714285717,103.63787687814491,332.3333333333333,85.04312631443727,323.5,71.64961037344632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,failure,0,6,83806327,112.0,1157,0,0,19,False,865,467,0,0,0,1332,False,12457,0,6,0,13,7,283,3,6,94,0,46.800995424259455,0,112.0,0,0,112.0,1.0,False,20,0,10,5815.0,108.0,317.0,424.0,256.0,297.0,162.0,302.0,266.57142857142856,104.64202014942363,283.0,160.72025385744013,276.25,131.9201147159396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,failure,0,6,83806327,110.0,1156,0,0,19,False,865,467,0,0,0,1332,False,12457,0,6,0,13,7,283,3,6,94,0,46.800995424259455,0,112.0,0,0,110.0,1.0,False,20,0,10,143.0,112.0,108.0,317.0,424.0,256.0,297.0,162.0,239.42857142857142,117.7424550206327,179.0,119.52823934116992,240.25,156.62348695731004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,success,0,6,83806327,261.0,1155,0,0,19,False,865,467,0,0,0,1332,False,12457,0,6,0,13,7,283,3,6,94,0,46.800995424259455,0,112.0,0,0,261.0,1.0,False,20,0,10,1011.0,110.0,112.0,108.0,317.0,424.0,256.0,297.0,232.0,124.86659547960241,110.0,2.0,161.75,103.51288164603798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,success,0,2,83806327,386.0,1153,4,1,10,False,360,105,49,1,50,465,True,12683,83,9,0,5,7,286,3,6,216,1,49.75163604825357,0,112.0,0,0,386.0,1.0,False,7,1,10,37536.0,261.0,110.0,112.0,108.0,317.0,424.0,256.0,226.85714285714286,122.46146138197733,161.0,86.6083136886985,147.75,75.51765797922144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,0,6,83806327,290.0,1152,0,0,19,False,865,467,0,0,0,1332,False,12683,0,6,0,13,7,286,3,6,94,0,49.75163604825357,0,112.0,0,0,290.0,1.0,False,7,1,10,364.0,386.0,261.0,110.0,112.0,108.0,317.0,424.0,245.42857142857142,136.6526705957567,252.33333333333334,138.20395556326648,217.25,132.87933122448604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
