branch,conclusion,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,build_duration_original,run_attempt_from_api,fixed_with_api,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___in_,ft___in__,ft___json5_,ft___json5__,ft___md_,ft___sh_,ft___sh__,ft___yml__,ft___yml__,ft____cosmic_,ft____cosmic__,ft____in_,ft____in__,ft____json_,ft____json__,ft____json5_,ft____json5__,ft____md_,ft____md__,ft____pub_,ft____py_,ft____py__,ft____sh_,ft____sh__,ft____txt_,ft____txt__,ft____yml__,ft___
1,failure,1,2,105026558,601.0,1329,1,0,2,False,149,30,0,0,0,179,False,1818,0,1,0,2,3,198,19,2,467,0,0.0,0,42.0,0,0,601.0,1.0,False,23,6,10,16906.0,632.0,1690.0,172.0,1640.0,498.0,589.0,529.0,821.4285714285714,595.2954048601578,831.3333333333334,778.3837956518194,1033.5,753.2637873503102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,1792.0,1326,0,0,1,False,7,6,0,0,0,13,False,1819,0,1,0,0,3,198,19,2,24,0,0.0,0,42.0,0,0,1792.0,1.0,False,0,0,10,3389.0,601.0,632.0,1690.0,172.0,1640.0,498.0,589.0,831.7142857142857,589.9990718313926,974.3333333333334,619.9793007297368,773.75,645.8980182660417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,2,2,105026558,1808.0,1324,0,0,1,False,4,4,0,0,0,8,False,1819,0,0,0,1,3,201,19,2,56,0,0.0,0,42.0,0,0,1808.0,1.0,False,6,0,10,23267.0,1792.0,601.0,632.0,1690.0,172.0,1640.0,498.0,1003.5714285714286,676.3982695480667,1008.3333333333334,678.8522175947674,1178.75,650.6875210114299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,failure,1,2,105026558,1744.0,1321,0,0,4,False,21,16,0,0,0,37,False,1819,0,2,0,2,3,201,19,2,527,0,0.0,0,42.0,0,0,1744.0,1.0,False,10,0,10,13167.0,1808.0,1792.0,601.0,632.0,1690.0,172.0,1640.0,1190.7142857142858,694.1941885586276,1400.3333333333333,692.289197758663,1208.25,683.4424506374573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,1732.0,1320,0,0,1,False,1,1,0,0,0,2,False,1819,0,1,0,0,3,203,19,2,25,0,0.0,0,42.0,0,0,1732.0,1.0,False,22,0,10,42197.0,1744.0,1808.0,1792.0,601.0,632.0,1690.0,172.0,1205.5714285714287,706.4176897423736,1781.3333333333333,33.30665599145812,1486.25,590.792899415692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,success,1,2,105026558,1771.0,1319,0,0,1,False,171,131,0,0,0,302,False,1855,0,0,0,1,3,203,19,2,56,0,0.0,0,42.0,0,0,1771.0,1.0,False,0,1,10,7507.0,1732.0,1744.0,1808.0,1792.0,601.0,632.0,1690.0,1428.4285714285713,556.080886545251,1761.3333333333333,40.85747585611883,1769.0,36.71511950137164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,failure,2,2,105026558,1713.0,1318,0,0,1,False,171,131,0,0,0,302,False,1855,0,0,0,1,3,203,19,2,56,0,0.0,0,42.0,0,0,1713.0,1.0,False,6,1,10,23446.0,1771.0,1732.0,1744.0,1808.0,1792.0,601.0,632.0,1440.0,563.2278994036665,1749.0,19.974984355438178,1763.75,33.70830758136635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,failure,1,2,105026558,2851.0,1316,0,0,1,False,1,1,0,0,0,2,False,1856,0,0,0,1,3,205,19,2,56,0,0.0,0,42.0,0,0,2851.0,1.0,False,15,1,10,32934.0,1713.0,1771.0,1732.0,1744.0,1808.0,1792.0,601.0,1594.4285714285713,439.3331526844054,1738.6666666666667,29.569128044860122,1740.0,24.289915602982237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,failure,2,2,105026558,2089.0,1315,0,0,1,False,1,1,0,0,0,2,False,1856,0,0,0,1,3,205,19,2,56,0,0.0,0,42.0,0,0,2089.0,1.0,False,6,2,10,53465.0,2851.0,1713.0,1771.0,1732.0,1744.0,1808.0,1792.0,1915.857142857143,413.7106188998249,2111.6666666666665,640.937854501771,2016.75,556.6904436039836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,failure,2,2,105026558,1589.0,1314,0,0,1,False,1,1,0,0,0,2,False,1856,0,0,0,1,3,205,19,2,56,0,0.0,0,42.0,0,0,1589.0,1.0,False,6,3,10,86411.0,2089.0,2851.0,1713.0,1771.0,1732.0,1744.0,1808.0,1958.2857142857142,414.12064034759817,2217.6666666666665,579.8080142024024,2106.0,523.4462723145518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
